geneID	flhDCn	flhDCp
b3481	29.16712714	27.9033843
b3684	4.198773363	16.11865334
b4676	0	0
b1728	7.506863839	12.94088658
b0848	55.75037966	41.81481182
b0526	73.50819027	72.83870447
b2230	4.31535144	9.156947848
b0111	63.00873934	75.73521435
b4512	877.8684185	752.7892369
b0554	6.602018644	3.147351428
b4270	24.23329196	55.98582775
b1099	34.52757213	28.91805282
b0809	77.14225934	42.54801225
b1552	3873.432234	1323.749413
b4117	3.493131558	6.894198365
b2972	20.14838282	24.54934114
b3339	20.32418904	19.64903448
b4295	88.45500967	199.9189974
b2809	9907.892611	3753.962003
b0392	34.74746655	41.24686871
b3653	289.5691361	315.1109459
b2813	92.93333348	233.1103893
b4379	22.55689703	21.63804106
b2356	0	0
b2636	0	0.382785984
b0262	6.810105191	9.577327267
b3891	132.2107476	135.4173334
b4369	0	0
b2981	3.310003898	12.04054879
b3866	178.6428574	99.64144343
b0124	72.82929475	54.37770283
b3052	118.3391124	107.2601564
b4503	1.160794487	0
b3805	326.6527441	267.7453864
b1896	254.4070511	135.4885095
b4395	131.3068152	77.63466855
b2498	230.7231779	177.2756986
b0188	83.18848434	92.63244017
b2304	109.3542417	67.10829185
b0588	19.41770189	21.03634153
b3569	14.37996936	62.99507972
b0472	211.5260627	135.741216
b3259	85.152567	215.8183836
b2670	31.68968949	26.43775199
b0250	167.251139	285.0774082
b0031	182.9289253	155.6905155
b0511	0.65339566	0.700853514
b1196	11.85668654	10.79091918
b0417	26.08404912	19.63715584
b3121	1.467115254	2.432044285
b0246	0	0.534455903
b3045	0	0
b0367	2.48771717	2.257882546
b2864	10.70597618	22.96715907
b4028	2.791097313	0.690882021
b3852	0	0
b3516	408.7009651	137.2016324
b0823	5.926349658	10.26867063
b3315	1288.523711	1343.833996
b1888	102.5681553	402.8802032
b1874	583.0987711	300.7806208
b4421	1.467115254	1.573675714
b1341	46.39082687	30.18700566
b3442	1.34392237	1.585688506
b3926	408.4588871	217.7116214
b3355	50.81277798	38.09380521
b1717	1357.214984	1175.964942
b3952	4.867017157	63.9997263
b0905	50.29680984	55.68720942
b3849	79.87896938	67.30389933
b2403	0	0
b2796	460.7287801	2198.505486
b1013	77.36450016	60.90789946
b0947	43.10939741	36.74745451
b0172	1187.511483	719.7282023
b0042	1.51383867	2.706321291
b4011	0.412626165	0
b2133	119.7596948	345.2622507
b0180	328.7110335	542.2969335
b3534	15.78171787	33.40455858
b2273	2.651856861	4.740780393
