geneID	flhDCn	flhDCp
b4054	671	430
b2756	18	33
b3069	6	4
b4124	62	99
b2437	69	136
b2123	11	15
b4436	51	57
b2394	0	0
b4625	0	0
b0150	2452	13272
b2288	1619	694
b3384	2015	2044
b4227	249	121
b2291	234	175
b2372	4	29
b0885	128	146
b3030	1159	1366
b4197	49	557
b2766	104	98
b0360	0	0
b1483	56	174
b2451	45	119
b1529	674	607
b3676	125	290
b3442	10	11
b3422	43	224
b4508	3	1
b3387	403	481
b2362	0	0
b3023	324	161
b0843	134	121
b1154	0	0
b2397	2	2
b1702	249	523
b3889	2	4
b3006	2900	2401
b0754	1552	1526
b3723	128	212
b0067	0	0
b0390	277	162
b4098	4	10
b4676	0	0
b0501	10	20
b1749	290	527
b1916	553	1161
b0748	193	190
b1449	638	403
b0482	1090	517
b0353	23	26
b1952	406	273
b3899	39	52
b2534	13	38
b4143	10726	11930
b0790	758	274
b4592	0	0
b1515	41	46
b0761	289	242
b0847	303	319
b1597	3084	1025
b3279	665	1681
b2574	164	132
b0252	2	2
b2586	25	19
b3506	1405	199
b4339	0	0
b2708	258	263
b4116	18	5
b4678	2	3
b0623	50692	31940
b0222	1486	1329
b0474	1861	1495
b0441	1688	1470
b4403	102	112
b3824	67	521
b3352	799	853
b4345	0	0
b0895	48	33
b4496	250	138
b3046	52	61
b3648	1646	897
b3316	1363	1123
b0650	29	84
b1352	0	3
b2527	70	135
b0781	1164	943
b0385	57	28
b1844	243	169
b0917	14	19
b2387	6	41
b2012	259	327
b4106	7	13
b0668	0	0
b1755	153	116
b0637	507	408
b0350	5	15
b3396	814	1145
b3579	4	18
b3677	136	4476
b4326	0	0
b4046	747	524
b3409	2428	1413
b0608	801	1571
b3653	2204	2236
b1243	6863	3277
b1388	52	22
b0388	233	328
b0836	3327	2216
b2160	167	173
b0990	3200	1207
b4094	21	16
b2486	49	69
b2327	164	150
b0063	0	1
b3904	9	18
b0209	1090	945
b1450	375	116
b3071	470	423
b3183	1593	2014
b1295	109	105
b1317	2	6
b1788	14	513
b1161	6	6
b4378	315	1595
b3333	19	53
b0920	69	56
b0292	13	10
b1894	0	1
b2641	115	112
b0682	69	53
b1389	3	2
b1061	61	52
b2806	722	797
b0811	724	426
b3167	587	608
b3307	2913	2585
b3434	179	228
b1786	164	206
b1766	610	575
b1285	542	214
b1503	6	8
b1982	707	576
b0404	112	94
b2808	272	201
b1669	22	163
b0398	76	78
b1722	35	41
b3459	293	225
b1271	149	3988
b2023	73	74
b1636	235	228
b1482	6708	2969
b4215	71	57
b1177	325	293
b1268	58	93
b0002	1178	859
b1835	32	38
